date (UTC),description,moneyIn (Satoshi),moneyOut (Satoshi),tx hash,current balance (Satoshi)
12/2/18 10:45,PAYMENT RECEIVED,4.08856E+11,0,1edbfbb688b32c2077c65172e2e2770f7a9c18ac14df75866857ecc25c968390,9.66508E+12
12/2/18 10:45,PAYMENT RECEIVED,1E+11,0,7e56b75dafb98877a4c6b3a52f04e503865a815d143964ca3e33536477069664,9.25623E+12
12/2/18 10:45,PAYMENT RECEIVED,4.10178E+11,0,510163b3cade8df48c412cac2582b4bbe0cfdacd67fc97513b2f750a49d766d5,9.15623E+12
12/2/18 10:41,PAYMENT RECEIVED,10000000000,0,28338aba5da70bf5583694db39ffad27f47467995aced0637cf11571b9940e14,8.74605E+12
11/2/18 2:37,PAYMENT RECEIVED,604,0,b6e2968af695b481d5f1fd8b635f707e1c9ac8966144e6591a65ceddaa50f8b1,8.73605E+12
10/2/18 19:22,PAYMENT RECEIVED,59756,0,d50c6ccdddca1d135434de2509afb161c8873b5d2f9591d3b19a5c33336df8fd,8.73605E+12
9/2/18 8:55,PAYMENT RECEIVED,4.30384E+11,0,d4b4a8257a3413c2764b73360c79becae4e87f233b9fb3803a3d3c3e9109e7db,8.73605E+12
9/2/18 8:37,PAYMENT RECEIVED,6.61075E+11,0,7e6fd879714b6766a8834b470d232c3bfc92b40c9a9a4766887292517464ae02,8.30566E+12
9/2/18 7:37,PAYMENT RECEIVED,2.00453E+11,0,9979374cc05ba88e1e22b50575f93f912748ee0c078c48e5f96c5c7a21f23b7f,7.64459E+12
9/2/18 7:32,PAYMENT RECEIVED,3.01454E+11,0,f60bb680d4b11a800fa72597dcd21eb803184f064bcf0bb7fb64c2d55d991c42,7.44414E+12
9/2/18 7:32,PAYMENT RECEIVED,4.02524E+11,0,911b59009cef6abf64cc3c1b88e67a71af75f542109af146553841b8d2175469,7.14268E+12
9/2/18 7:30,PAYMENT RECEIVED,6.04448E+11,0,ff528f2692a567047fb81a4d6dbc6fe50a347958e6ee831c449c2db5b1813f41,6.74016E+12
9/2/18 7:30,PAYMENT RECEIVED,1E+11,0,9583ff07b8dbda3c6b280b855bf990d53ea91b824e2e7b6df9f4aa0f50d07e8f,6.13571E+12
16/2/18 10:45,PAYMENT RECEIVED,37772,0,47b52e7d4f9e24f32a05acf45119366f618a9287bf447b0964f8c87e402bfcd3,9.66508E+12
16/2/18 11:25,PAYMENT RECEIVED,10000,0,9e74072bad2e0cfa54083b4e7307e507a5ffde4709786f9cdef90f97910ddb2d,9.66508E+12
16/2/18 23:30,PAYMENT RECEIVED,19664,0,33bad642e9d5a5ee3915f99c43051bc6832a41a424212183064a4ca76ea30cd1,9.66508E+12
16/2/18 23:30,PAYMENT RECEIVED,777,0,8df5ba41d73741e9f5a795128efb6811f2b78c8c5d76df3c7c09494adf092c34,9.66508E+12
16/2/18 23:30,PAYMENT RECEIVED,46692,0,0608e18ea2ad0bab37a4806ff4b76c5eb2fc89c3531c70eda08079f29a731f42,9.66508E+12
16/2/18 23:30,PAYMENT RECEIVED,57721,0,741e5f102c33e8228e44a9e46ad70177939aae1f6f6013a9889994f9b3ffcd69,9.66508E+12
16/2/18 23:30,PAYMENT RECEIVED,31415,0,a85d94e72585a6725f01e3357b562b9a1f300666424893e5e142d7ea250cd2a3,9.66508E+12
16/2/18 23:18,PAYMENT RECEIVED,777,0,84a0e6218906b85f9eee0a736e12e1612b1acf08567f971b23138097c3eda530,9.66508E+12
16/2/18 22:01,PAYMENT RECEIVED,10989,0,f62a20e988da8555e73f1fcfe543269a224bb238933a95d913f2146a733ab208,9.66508E+12
16/2/18 21:52,PAYMENT RECEIVED,123070,0,0bd1697f3df5e999245d1f78b0c4a7c5c65f19c4f128076d3427111f5bd7f6e5,9.66508E+12
16/2/18 21:51,PAYMENT RECEIVED,7138,0,56c25cc2a86fd59ddf5bc9fd8638c667cfe6d2da7b81e2466cb2b8e9e705b7d4,9.66508E+12
16/2/18 21:41,PAYMENT RECEIVED,69300,0,05b3c9a3437fb83998f88aecd93efa0185aca4872ccf0a4a26187a43dcc755a2,9.66508E+12
16/2/18 21:03,PAYMENT RECEIVED,100000,0,475ae160726efa0d0223481afa5737893c13b141691f335a879a0aecf9b4d066,9.66508E+12
16/2/18 20:14,PAYMENT RECEIVED,49776,0,3f5d53cc8385fa0ff7425c0221ce90db50c5975880434f27c00ca243edfd92ed,9.66508E+12
